FID,OBJECTID,RAIN_ID,DATE,VILLAGE,MOO,TAMBON,DISTRICT,PROVINCE,REGION,ZONE,UTM_E,UTM_N,RIAN_24,RAIN_3_DAY,WEATHER
0,1,1,1/6/2021,รวมไทย,7,หาดขาม,กุยบุรี,ประจวบคีรีขันธ์,ภาคกลาง,47,570796,1337420,0, ,เช้านี้ท้องฟ้าโปร่ง  อากาศร้อน
1,2,2,1/6/2021,ดงเสลา,6,ด่านแม่แฉลบ,ศรีสวัสดิ์,กาญจนบุรี,ภาคกลาง,47,511279,1618082,0, ,เช้านี้ท้องฟ้าแจ่มใส มีฝนตกเมื่อเย็นวาน
2,3,3,1/6/2021,พุกร่าง,9,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,ภาคกลาง,47,529954,1527753,0, ,เช้านี้ท้องฟ้าแจ่มใส  แดดแรง
3,4,4,1/6/2021,วังยายฉิม,6,หินตั้ง,เมือง,นครนายก,ภาคกลาง,47,747984,1579464,0, ,เช้านี้ท้องฟ้าครึ้ม ไม่มีฝน
4,5,5,1/6/2021,  ปากคลองบางขวาก,6,ย่านยาว,สามชุก,สุพรรณบุรี,ภาคกลาง,47,618427,1625433,0, ,เช้านี้ท้องฟ้าโปร่ง ไม่มีฝนตก
5,6,6,1/6/2021,คลองหิน,1,ห้วยทับมอญ,เขาชะเมา,ระยอง,ภาคตะวันออก,47,792394,1434428,0, ,เช้านี้ท้องฟ้ามืดครึ้ม มีฝนปรอยๆ
6,7,7,1/6/2021,คลองฟันปลา,14,โพธิ์งาม,ประจันตคาม,ปราจีนบุรี,ภาคตะวันออก,47,769596,1565072,0, ,เช้านี้มีฝนปรอยๆ มีแดด
7,8,8,1/6/2021,ทดวงษ์สมบูรณ์,10,ทัพราช,ตาพระยา,สระแก้ว,ภาคตะวันออก,47,887664,1552661,0, , อากาศร้อน มีแดด
8,9,9,1/6/2021,ไทรแก้ว,9,ทรายขาว,สอยดาว,จันทบุรี,ภาคตะวันออก,47,203809,1447987,0, ,เช้านี้ท้องฟ้าโปร่ง  อากาศร้อน
9,10,10,1/6/2021,คอแล,4,หนองบอน,บ่อไร่,ตราด,ภาคตะวันออก,47,877561,1397794,0, ,เช้านี้ท้องฟ้าโปร่ง  อากาศร้อน
10,11,11,1/6/2021,  เขาใหญ่,4,พลวงทอง,บ่อทอง,ชลบุรี,ภาคตะวันออก,47,785913,1465031,0, ,เช้านี้ท้องฟ้าโปร่ง  อากาศดี
11,12,12,1/6/2021,นาตราว,1,ดงรัก,ภูสิงห์,ศรีสะเกษ,ภาคตะวันออกเฉียเหนือ,47,414580,1603507,0, ,ท้องฟ้าโปร่ง ไม่มีฝน
12,13,13,1/6/2021,แสงทองพัฒนา,12,น้ำโสม,น้ำโสม,อุดรธานี,ภาคตะวันออกเฉียเหนือ,47,195159,1968278,0, , อากาศร้อน มีแดด
